Wavelength (nm),Ca_n,Ca_k
609,2.17,2.3746
610,2.18,2.3792
611,2.18,2.3838
612,2.1833,2.3885
613,2.19,2.3931
614,2.2,2.3977
615,2.21,2.4023
616,2.22,2.4069
617,2.23,2.4115
618,2.23,2.4162
619,2.24,2.4208
620,2.25,2.4254
621,2.26,2.43
622,2.27,2.434
623,2.2767,2.438
624,2.28,2.442
625,2.28,2.446
626,2.29,2.45
627,2.3,2.454
628,2.31,2.458
629,2.32,2.462
630,2.33,2.466
631,2.33,2.47
632,2.34,2.474
633,2.35,2.478
634,2.36,2.482
635,2.3667,2.486
636,2.37,2.49
637,2.37,2.4947
638,2.38,2.4993
639,2.39,2.504
640,2.4,2.5087
641,2.41,2.5133
642,2.42,2.518
643,2.43,2.5227
644,2.43,2.5273
645,2.44,2.532
646,2.4467,2.5367
647,2.45,2.5413
648,2.45,2.546
649,2.46,2.5507
650,2.47,2.5553
651,2.48,2.56
652,2.49,2.5633
653,2.5,2.5667
654,2.5,2.57
655,2.51,2.5733
656,2.52,2.5767
657,2.525,2.58
658,2.53,2.5833
659,2.54,2.5867
660,2.54,2.59
661,2.55,2.5933
662,2.56,2.5967
663,2.57,2.6
664,2.58,2.6033
665,2.59,2.6067
666,2.6,2.61
667,2.61,2.6133
668,2.61,2.6167
669,2.615,2.62
670,2.62,2.6233
671,2.62,2.6267
672,2.63,2.63
673,2.64,2.6345
674,2.65,2.6391
675,2.65,2.6436
676,2.66,2.6482
677,2.67,2.6527
678,2.67,2.6573
679,2.68,2.6618
680,2.6867,2.6664
681,2.69,2.6709
682,2.69,2.6755
683,2.7,2.68
684,2.72,2.6845
685,2.72,2.6891
686,2.73,2.6936
687,2.74,2.6982
688,2.75,2.7027
689,2.75,2.7073
690,2.76,2.7118
691,2.77,2.7164
692,2.7767,2.7209
693,2.78,2.7255
694,2.78,2.73
695,2.79,2.734
696,2.8,2.738
697,2.81,2.742
698,2.81,2.746
699,2.82,2.75
700,2.83,2.754
701,2.84,2.758
702,2.84,2.762
703,2.8433,2.766
704,2.85,2.77
705,2.86,2.774
706,2.87,2.778
707,2.87,2.782
708,2.88,2.786
709,2.89,2.79
710,2.9,2.794
711,2.91,2.798
712,2.91,2.802
713,2.92,2.806
714,2.92,2.81
715,2.9233,2.814
716,2.93,2.818
717,2.94,2.822
718,2.95,2.826
719,2.95,2.83
720,2.96,2.834
721,2.97,2.838
722,2.98,2.842
723,2.98,2.846
724,2.99,2.85
725,3,2.8538
726,3,2.8575
727,3,2.8613
728,3.01,2.865
729,3.02,2.8687
730,3.03,2.8725
731,3.03,2.8763
732,3.04,2.88
733,3.05,2.8838
734,3.05,2.8875
735,3.06,2.8913
736,3.07,2.895
737,3.08,2.8988
738,3.08,2.9025
739,3.08,2.9063
740,3.09,2.91
741,3.1,2.9143
742,3.1,2.9186
743,3.11,2.9229
744,3.12,2.9271
745,3.12,2.9314
746,3.13,2.9357
747,3.14,2.94
748,3.14,2.9443
749,3.1433,2.9486
750,3.15,2.9529
751,3.16,2.9571
752,3.16,2.9614
753,3.17,2.9657
754,3.18,2.97
755,3.19,2.974
756,3.19,2.978
757,3.2,2.982
758,3.2,2.986
759,3.21,2.99
760,3.22,2.994
761,3.2267,2.998
762,3.23,3.002
763,3.23,3.006
764,3.24,3.01
765,3.24,3.014
766,3.25,3.018
767,3.26,3.022
768,3.27,3.026
769,3.27,3.03
770,3.28,3.0337
771,3.28,3.0375
772,3.2833,3.0412
773,3.29,3.045
774,3.3,3.0487
775,3.3,3.0525
776,3.31,3.0562
777,3.32,3.06
778,3.32,3.0637
779,3.33,3.0675
780,3.34,3.0713
781,3.34,3.075
782,3.35,3.0787
783,3.36,3.0825
784,3.36,3.0862
785,3.36,3.09
786,3.37,3.094
787,3.38,3.098
788,3.38,3.102
789,3.39,3.106
790,3.39,3.11
791,3.4,3.114
792,3.41,3.118
793,3.41,3.122
794,3.42,3.126
795,3.4267,3.13
796,3.43,3.134
797,3.43,3.138
798,3.44,3.142
799,3.44,3.146
800,3.45,3.15
