Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k
479,1.73,0.3242098
480,1.73,0.3260603
481,1.74,0.3296177
482,1.75,0.3331817
483,1.75,0.335549
484,1.76,0.3379094
485,1.77,0.3399162
486,1.77,0.3419165
487,1.78,0.3453517
488,1.79,0.3487869
489,1.8,0.3508758
490,1.8,0.3529648
491,1.805,0.3549314
492,1.81,0.3568981
493,1.82,0.3589055
494,1.82,0.3609131
495,1.83,0.3645798
496,1.84,0.3682466
497,1.85,0.3701179
498,1.85,0.3719892
499,1.86,0.3756013
500,1.87,0.3792066
501,1.88,0.3811665
502,1.88,0.3831264
503,1.89,0.3867522
504,1.9,0.3903781
505,1.9,0.3900194
506,1.9,0.3896606
507,1.91,0.3929875
508,1.92,0.3963075
509,1.92,0.3974517
510,1.93,0.3985959
511,1.94,0.4016441
512,1.95,0.4046855
513,1.95,0.4052657
514,1.96,0.4058391
515,1.96,0.4062425
516,1.97,0.4066459
517,1.98,0.4068045
518,1.98,0.4069632
519,1.98,0.4071491
520,1.99,0.4073349
521,1.99,0.407576
522,2,0.4078104
523,2.01,0.4079904
524,2.01,0.4081637
525,2.02,0.4084342
526,2.02,0.4087127
527,2.03,0.4091272
528,2.03,0.409535
529,2.03,0.4099971
530,2.04,0.4104524
531,2.04,0.4100782
532,2.045,0.4096971
533,2.05,0.4095745
534,2.05,0.4094451
535,2.05,0.4103629
536,2.06,0.4112739
537,2.06,0.4104509
538,2.06,0.4096212
539,2.07,0.4108315
540,2.07,0.412035
541,2.07,0.4134289
542,2.08,0.4148296
543,2.08,0.4138844
544,2.08,0.4129392
545,2.08,0.4128576
546,2.085,0.412776
547,2.09,0.4124226
548,2.09,0.4120692
549,2.09,0.4122123
550,2.1,0.4123622
551,2.1,0.4099756
552,2.1,0.4075899
553,2.11,0.4069451
554,2.11,0.406307
555,2.11,0.4052473
556,2.12,0.4041945
557,2.12,0.40085
558,2.12,0.3975056
559,2.13,0.3959631
560,2.13,0.3944275
561,2.13,0.3906003
562,2.13,0.3867732
563,2.14,0.3843468
564,2.14,0.3819137
565,2.14,0.3778485
566,2.14,0.3737834
567,2.14,0.3709832
568,2.15,0.3681761
569,2.15,0.3639207
570,2.15,0.3596652
571,2.15,0.3556138
572,2.15,0.3515556
573,2.15,0.3464706
574,2.14,0.3413856
575,2.14,0.337885
576,2.14,0.3343854
577,2.14,0.3313557
578,2.14,0.3283261
579,2.14,0.3256365
580,2.14,0.3229469
581,2.13,0.3201488
582,2.13,0.3173512
583,2.13,0.3159272
584,2.13,0.31451
585,2.13,0.3129364
586,2.12,0.311356
587,2.12,0.3111493
588,2.12,0.3109425
589,2.12,0.3112661
590,2.12,0.3115898
591,2.12,0.3122602
592,2.12,0.3129307
593,2.12,0.3136148
594,2.12,0.3142921
595,2.12,0.3150034
596,2.12,0.3157079
597,2.12,0.3161948
598,2.12,0.3166818
599,2.12,0.3166451
600,2.12,0.3166016
601,2.12,0.3167146
602,2.13,0.3168207
603,2.13,0.3152064
604,2.13,0.313599
605,2.13,0.3111415
606,2.13,0.3086909
607,2.13,0.3060362
608,2.14,0.3033748
609,2.14,0.2990474
610,2.14,0.29472
611,2.14,0.2893454
612,2.14,0.283964
613,2.14,0.2779163
614,2.14,0.2718682
615,2.14,0.26514
616,2.14,0.2584117
617,2.14,0.2509626
618,2.14,0.2435135
619,2.14,0.2356429
620,2.14,0.2277722
621,2.14,0.2195139
622,2.14,0.2112487
623,2.13,0.2023784
624,2.13,0.1935081
625,2.13,0.184699
626,2.12,0.1758831
627,2.12,0.1674549
628,2.12,0.1590198
629,2.12,0.150612
630,2.11,0.1422041
631,2.11,0.1344559
632,2.11,0.1267076
633,2.1,0.1192994
634,2.1,0.1118844
635,2.09,0.1051698
636,2.09,0.0984483
637,2.09,0.0925225
638,2.09,0.0865967
639,2.08,0.0812353
640,2.08,0.075874
641,2.07,0.0711314
642,2.07,0.0663956
643,2.07,0.06221944
644,2.06,0.0580427
645,2.06,0.05456656
646,2.06,0.05109052
647,2.05,0.04808154
648,2.05,0.04507266
649,2.04,0.04252278
650,2.04,0.03997212
651,2.04,0.03786736
652,2.035,0.0357628
653,2.03,0.03388128
654,2.03,0.03199986
655,2.03,0.03046786
656,2.02,0.02893518
657,2.02,0.0276508
658,2.02,0.02636632
659,2.01,0.02527292
660,2.01,0.02417962
661,2.01,0.02324534
662,2.01,0.02231174
663,2,0.02152444
664,2,0.02073704
665,2,0.02012654
666,1.99,0.01951672
667,1.99,0.01897558
668,1.99,0.01843444
669,1.99,0.01795382
670,1.99,0.01747252
671,1.98,0.01706534
672,1.98E+00,0.01665748
673,1.98E+00,0.0163014
674,1.98E+00,0.01594522
675,1.98E+00,0.01563732
676,1.97E+00,0.01532942
677,1.97E+00,0.01506854
678,1.97E+00,0.01480756
679,1.97E+00,0.01459904
680,1.97E+00,0.01438974
681,1.96,0.0141615
682,1.96,0.01393316
683,1.96,0.01379808
684,1.96,0.013663
685,1.96,0.013498
686,1.96,0.0133334
687,1.96,0.01321504
688,1.95,0.013096
689,1.95,0.01303
690,1.95,0.012964
691,1.95,0.01291092
692,1.95,0.01285716
693,1.95,0.0127634
694,1.95,0.01266896
695,1.95,0.0126364
696,1.94,0.01260316
697,1.94,0.01257808
698,1.94,0.0125531
699,1.94,0.01250218
700,1.94,0.01245194
701,1.94,0.01241258
702,1.94,0.01237254
703,1.94,0.01237942
704,1.94,0.0123863
705,1.93,0.01225932
706,1.93,0.01213292
707,1.93,0.01206772
708,1.93,0.01200252
709,1.93,0.01189118
710,1.93,0.01177906
711,1.93,0.01152618
712,1.93,0.01127272
713,1.93,0.01099264
714,1.93,0.01071266
715,1.93,0.01045366
716,1.93,0.01019398
717,1.92,0.00985824
718,1.92,0.0095224
719,1.92,0.0092193
720,1.92,0.00891542
721,1.92,0.0086197
722,1.92,0.0083234
723,1.92,0.00803652
724,1.92,0.00774906
725,1.92,0.0074853
726,1.92,0.00722096
727,1.92,0.00697294
728,1.92,0.006724956
729,1.915,0.0064989
730,1.91,0.006272744
731,1.91,0.006094628
732,1.91,0.00591618
733,1.91,0.005703732
734,1.91,0.005491284
735,1.91,0.00533684
736,1.91,0.005182396
737,1.91,0.005107988
738,1.91,0.00503368
739,1.91,0.004806408
740,1.91,0.004578736
741,1.91,0.00447544
742,1.91,0.004372212
743,1.9,0.004279388
744,1.9,0.004186596
745,1.9,0.004032368
746,1.9,0.00387814
747,1.9,0.003837436
748,1.9,0.0037967
749,1.9,0.003697992
750,1.9,0.003599184
751,1.9,0.003463416
752,1.9,0.003327616
753,1.9,0.00326216
754,1.9,0.003196604
755,1.9,0.003104084
756,1.9,0.003011532
757,1.89,0.002989936
758,1.89,0.002968408
759,1.89,0.002900912
760,1.89,0.002833484
761,1.89,0.002682724
762,1.89,0.002532064
763,1.89,0.002452192
764,1.89,0.00237232
765,1.89,0.002261508
766,1.89,0.002150796
767,1.89,0.0021221675
768,1.89,0.0020935794
769,1.89,0.0019840033
770,1.89,0.0018744272
771,1.89,0.0018186392
772,1.89,0.0017628511
773,1.88,0.001718895
774,1.88,0.0016750069
775,1.88,0.001596572
776,1.88,0.001518712
777,1.88,0.001475464
778,1.88,0.001432148
779,1.88,0.001411816
780,1.88,0.001391484
781,1.88,0.001296012
782,1.88,0.001200608
783,1.88,0.001133016
784,1.88,0.001065356
785,1.88,0.000966416
786,1.88,0.000867476
787,1.88,0.000843744
788,1.88,0.000820012
789,1.88,0.000786148
790,1.88,0.000752216
791,1.88,0.0006758996
792,1.87,0.0005995832
793,1.87,0.0005407088
794,1.87,0.0004818344
795,1.87,0.0004236128
796,1.87,0.0003653912
797,1.87,0.0002718776
798,1.87,1.78E-04
799,1.87,1.88E-04
800,1.87,1.98E-04
