Wavelength (nm),P3HT_n,P3HT_k
417,1.12245,0.18682
418,1.12559,0.18927
419,1.12692,0.19206
420,1.13125,0.19418
421,1.13242,0.199
422,1.135,0.20283
423,1.135,0.20904
424,1.13893,0.21358
425,1.14316,0.21747
426,1.14736,0.22171
427,1.14841,0.2263
428,1.15257,0.23024
429,1.15383,0.23419
430,1.15771,0.23816
431,1.16182,0.24214
432,1.16324,0.24614
433,1.16998,0.24912
434,1.17266,0.25177
435,1.17492,0.25512
436,1.17893,0.25918
437,1.18293,0.26325
438,1.1869,0.26734
439,1.19338,0.27144
440,1.19499,0.27626
441,1.20187,0.28321
442,1.20577,0.28877
443,1.21214,0.2933
444,1.21361,0.29856
445,1.22052,0.30383
446,1.22435,0.30878
447,1.23034,0.31409
448,1.23795,0.31907
449,1.24204,0.32443
450,1.24677,0.32802
451,1.25111,0.33162
452,1.25547,0.33739
453,1.2629,0.34354
454,1.27031,0.34972
455,1.27694,0.35592
456,1.28187,0.36469
457,1.2874,0.37167
458,1.29332,0.37831
459,1.30056,0.38572
460,1.30777,0.39278
461,1.31495,0.39657
462,1.3221,0.39228
463,1.32921,0.39313
464,1.3363,0.39915
465,1.34336,0.4063
466,1.35038,0.41756
467,1.35738,0.42737
468,1.36448,0.43424
469,1.37488,0.44152
470,1.38446,0.44807
471,1.39134,0.45577
472,1.39819,0.46312
473,1.40664,0.47088
474,1.41683,0.47791
475,1.42483,0.48572
476,1.43393,0.49432
477,1.44399,0.50295
478,1.45123,0.51199
479,1.46084,0.52069
480,1.47078,0.52827
481,1.47753,0.52592
482,1.48707,0.53085
483,1.49449,0.53849
484,1.5064,0.55462
485,1.51355,0.57468
486,1.52323,0.58283
487,1.53288,0.59061
488,1.54249,0.59882
489,1.55112,0.60588
490,1.55845,0.61297
491,1.56795,0.62008
492,1.5774,0.628
493,1.58681,0.63595
494,1.5972,0.64274
495,1.60768,0.64916
496,1.61483,0.65521
497,1.6241,0.66246
498,1.63416,0.66974
499,1.64641,0.67704
500,1.65727,0.68437
501,1.66449,0.69251
502,1.6766,0.70069
503,1.68866,0.70809
504,1.70026,0.71551
505,1.70642,0.72416
506,1.72131,0.73244
507,1.73042,0.74115
508,1.74197,0.74949
509,1.75374,0.75785
510,1.76319,0.76583
511,1.77608,0.77424
512,1.79246,0.78187
513,1.80666,0.7883
514,1.81619,0.79311
515,1.82338,0.79875
516,1.83094,0.80235
517,1.84108,0.80514
518,1.85768,0.80876
519,1.86901,0.81197
520,1.88303,0.81478
521,1.89225,0.81842
522,1.90272,0.82207
523,1.9156,0.82489
524,1.92812,0.82813
525,1.93819,0.83055
526,1.94646,0.83213
527,1.9547,0.83288
528,1.96291,0.83235
529,1.97363,0.83393
530,1.98449,0.83551
531,1.99362,0.83497
532,2.00295,0.83612
533,2.01369,0.83769
534,2.02406,0.83841
535,2.03205,0.83871
536,2.04001,0.83942
537,2.04996,0.84099
538,2.05899,0.84255
539,2.06786,0.84412
540,2.07785,0.84526
541,2.08567,0.84682
542,2.096,0.84968
543,2.10833,0.85298
544,2.11978,0.85541
545,2.13177,0.85829
546,2.14657,0.8616
547,2.15676,0.86448
548,2.16914,0.86781
549,2.18179,0.8707
550,2.1944,0.87404
551,2.20734,0.87694
552,2.22236,0.87854
553,2.23508,0.88013
554,2.2475,0.88128
555,2.26172,0.88066
556,2.27874,0.88003
557,2.29349,0.87807
558,2.30818,0.87476
559,2.3215,0.87055
560,2.33367,0.86587
561,2.34579,0.86072
562,2.36016,0.85644
563,2.37144,0.8499
564,2.38103,0.84333
565,2.39059,0.83583
566,2.40011,0.82785
567,2.40789,0.81939
568,2.41498,0.81044
569,2.42176,0.801
570,2.4241,0.79106
571,2.42644,0.782
572,2.42789,0.77154
573,2.42782,0.76103
574,2.4255,0.74957
575,2.4232,0.73898
576,2.42018,0.72789
577,2.4156,0.71675
578,2.41319,0.70742
579,2.40963,0.69804
580,2.40509,0.68863
581,2.40057,0.68103
582,2.39607,0.67294
583,2.39426,0.66529
584,2.3965,0.65853
585,2.39207,0.65267
586,2.38893,0.64679
587,2.38672,0.64182
588,2.38451,0.63683
589,2.38395,0.63323
590,2.38465,0.63008
591,2.38683,0.62832
592,2.38709,0.6275
593,2.38803,0.62715
594,2.3902,0.62726
595,2.39447,0.62832
596,2.39763,0.62937
597,2.40004,0.63043
598,2.40643,0.63148
599,2.41156,0.63159
600,2.41579,0.63121
601,2.42001,0.63035
602,2.42422,0.62852
603,2.42815,0.62573
604,2.43024,0.62436
605,2.43362,0.6201
606,2.43754,0.6163
607,2.43961,0.61056
608,2.44167,0.60237
609,2.44373,0.59318
610,2.44578,0.58396
611,2.44561,0.57277
612,2.44358,0.56007
613,2.44155,0.54732
614,2.43953,0.53209
615,2.43751,0.5173
616,2.4337,0.50147
617,2.43036,0.48461
618,2.42836,0.46769
619,2.42335,0.44874
620,2.41775,0.42628
621,2.4138,0.41412
622,2.40869,0.39548
623,2.40279,0.37728
624,2.39692,0.35852
625,2.39107,0.34069
626,2.38523,0.3228
627,2.37941,0.30486
628,2.3733,0.28685
629,2.36559,0.26729
630,2.35893,0.25067
631,2.35318,0.2355
632,2.34576,0.22028
633,2.3372,0.20602
634,2.32582,0.19172
635,2.31784,0.17838
636,2.31218,0.1655
637,2.3048,0.15157
638,2.2973,0.14013
639,2.28984,0.13119
640,2.28346,0.11968
641,2.27789,0.11018
642,2.27071,0.10167
643,2.26264,0.09466
644,2.25162,0.08763
645,2.24413,0.08007
646,2.24047,0.07351
647,2.23267,0.06693
648,2.22372,0.06136
649,2.21829,0.05629
650,2.21234,0.05165
651,2.20514,0.04706
652,2.19896,0.04215
653,2.1936,0.03837
654,2.18968,0.03567
655,2.18599,0.03296
656,2.17891,0.03144
657,2.1723,0.02903
658,2.16702,0.02629
659,2.16176,0.02421
660,2.15651,0.02184
661,2.15247,0.01863
662,2.14899,0.01833
663,2.14399,0.01556
664,2.1388,0.01533
665,2.13363,0.01524
666,2.1289,0.01516
667,2.12548,0.01507
668,2.12206,0.01499
669,2.11865,0.01455
670,2.11526,0.0131
671,2.11187,0.01165
672,2.1085,0.01155
673,2.10513,0.01145
674,2.10322,0.0094
675,2.10154,0.00816
676,2.09658,0.00684
677,2.09176,0.00484
678,2.08845,0.00474
679,2.08514,0.00463
680,2.08184,0.00453
681,2.07956,0.00443
682,2.07956,0.00433
683,2.07828,0.00422
684,2.07503,0.00412
685,2.07178,0.00352
686,2.06854,0.00202
687,2.06616,0.000633688
688,2.06455,0.000523713
689,2.06294,0.000413412
690,2.06134,0.000302792
691,2.05875,0.000109233
692,2.05557,0
693,2.0524,0
694,2.04923,0
695,2.04713,0
696,2.04555,0
697,2.04293,0
698,2.0398,0
699,2.03772,0
700,2.03616,0
701,2.03461,0
702,2.03307,0
703,2.03152,0
704,2.02999,0
705,2.02845,0
706,2.02692,0
707,2.02458,0
708,2.02154,0
709,2.01922,0
710,2.01771,0
711,2.0162,0
712,2.0147,0
713,2.01366,0
714,2.01366,0
715,2.01335,0
716,2.01186,0
717,2.01024,0
718,2.00728,0
719,2.00433,0
720,2.00282,0
721,2.00135,0
722,2.00111,0
723,2.00111,0
724,2.00012,0
725,1.99867,0
726,1.99722,0
727,1.99578,0
728,1.99434,0
729,1.99291,0
730,1.99147,0
731,1.99005,0
732,1.98862,0
733,1.98721,0
734,1.98579,0
735,1.98542,0
736,1.98542,0
737,1.984,0
738,1.9812,0
739,1.97914,0
740,1.97914,0
741,1.97913,0
742,1.97775,0
743,1.97637,0
744,1.97499,0
745,1.97362,0
746,1.97225,0
747,1.97088,0
748,1.96973,0
749,1.96973,0
750,1.96973,0
751,1.96973,0
752,1.96973,0
753,1.96904,0
754,1.9677,0
755,1.96659,0
756,1.96659,0
757,1.96659,0
758,1.96443,0
759,1.96178,0
760,1.96031,0
761,1.96031,0
762,1.96024,0
763,1.95893,0
764,1.95762,0
765,1.95718,0
766,1.95718,0
767,1.95686,0
768,1.95557,0
769,1.95428,0
770,1.953,0
771,1.95171,0
772,1.9509,0
773,1.9509,0
774,1.9509,0
775,1.95204,0
776,1.95331,0
777,1.95244,0
778,1.94866,0
779,1.94489,0
780,1.94462,0
781,1.94462,0
782,1.94515,0
783,1.94639,0
784,1.94763,0
785,1.94556,0
786,1.94309,0
787,1.94192,0
788,1.94314,0
789,1.94437,0
790,1.94366,0
791,1.94244,0
792,1.94096,0
793,1.93854,0
794,1.93612,0
795,1.93521,0
796,1.93521,0
797,1.93519,0
798,1.934,0
799,1.9328,0
800,1.93207,0
